Time,Latitude,Longitude,Heading,WindSpeed,WindDirection,RudderAngle,SailAngle
19:06:27,0.000000,0.000000,79.30,0.00,330,90,90
19:06:28,0.000000,0.000000,80.00,0.00,330,90,90
19:06:29,0.000000,0.000000,354.60,0.00,330,90,90
19:06:30,0.000000,0.000000,1.10,0.00,330,90,90
19:06:31,0.000000,0.000000,229.30,0.00,330,90,90
19:06:33,0.000000,0.000000,239.00,0.00,330,90,90
19:06:34,0.000000,0.000000,310.30,0.00,330,90,90
19:06:35,0.000000,0.000000,76.20,0.00,330,90,90
19:06:36,0.000000,0.000000,32.40,0.00,330,90,90
19:06:38,0.000000,0.000000,71.90,0.00,330,90,90
19:06:39,0.000000,0.000000,71.90,0.00,330,90,90
19:06:40,0.000000,0.000000,71.90,0.00,330,90,90
19:06:42,0.000000,0.000000,63.70,0.00,330,90,90
19:06:43,0.000000,0.000000,127.60,0.00,330,90,90
19:06:44,0.000000,0.000000,316.20,0.00,331,90,90
19:06:45,0.000000,0.000000,34.80,0.00,330,90,90
19:06:47,0.000000,0.000000,21.50,0.00,330,90,90
19:06:48,0.000000,0.000000,135.30,0.00,331,90,90
19:06:49,0.000000,0.000000,248.40,0.00,330,90,90
19:06:50,0.000000,0.000000,115.10,0.00,330,90,90
19:06:51,0.000000,0.000000,0.70,0.00,330,90,90
19:06:53,0.000000,0.000000,138.40,0.00,330,90,90
19:06:53,0.000000,0.000000,356.20,0.00,330,90,90
19:06:53,0.000000,0.000000,328.80,0.00,330,90,90
19:06:56,0.000000,0.000000,214.70,0.00,330,90,90
19:06:58,0.000000,0.000000,41.60,0.00,330,90,90
19:06:59,0.000000,0.000000,50.10,0.00,330,90,90
19:07:00,0.000000,0.000000,62.20,0.00,330,90,90
19:07:01,0.000000,0.000000,67.90,0.00,330,90,90
19:07:03,0.000000,0.000000,72.90,0.00,331,90,90
19:07:04,0.000000,0.000000,73.40,0.00,330,90,90
19:07:05,0.000000,0.000000,77.20,0.00,330,90,90
19:07:07,0.000000,0.000000,80.10,0.00,330,90,90
19:07:08,0.000000,0.000000,84.60,0.00,330,90,90
19:07:09,0.000000,0.000000,85.80,0.00,331,90,90
19:07:10,0.000000,0.000000,86.50,0.00,330,90,90
19:07:12,0.000000,0.000000,87.00,0.00,330,90,90
19:07:13,0.000000,0.000000,87.50,0.00,331,90,90
19:07:14,0.000000,0.000000,88.40,0.00,330,90,90
19:07:15,0.000000,0.000000,89.00,0.00,331,90,90
19:07:17,0.000000,0.000000,88.60,0.00,330,90,90
19:07:18,0.000000,0.000000,88.20,0.00,330,90,90
19:07:19,0.000000,0.000000,87.40,0.00,330,90,90
19:07:21,0.000000,0.000000,87.40,0.00,330,90,90
19:07:22,0.000000,0.000000,87.30,0.00,331,90,90
19:07:23,0.000000,0.000000,87.30,0.00,330,90,90
19:07:24,0.000000,0.000000,87.30,0.00,330,90,90
19:07:25,0.000000,0.000000,87.30,0.00,330,90,90
19:07:27,0.000000,0.000000,87.30,0.00,330,90,90
19:07:28,0.000000,0.000000,87.30,0.00,330,90,90
19:07:29,0.000000,0.000000,87.30,0.00,330,90,90
